Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
783,NO GO 🔴,1.1%,Differential Scanning Calorimeter (SRL1011) #155878,Sri Lanka,Others,CONSULTING,IAEA,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/298882
784,NO GO 🔴,1.1%,Empowering Women Entrepreneurs and Upgrading MSMEs for Economic Transformation and Jobs in DRC Proje,Congo,Business Strategy & Performance,GOODS,World Bank,"25,000 USD",41,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441566
785,NO GO 🔴,1.1%,Confection et transport de tables-bancs de 2 places pour apprenants du Fondamental 1,Mali,N/A,GOODS,UNICEF,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299935
786,NO GO 🔴,1.1%,Solicitação de Cotação (RFQ) para o Kit Recreativo de apoio a Benguela Obs: Esta solicitação é exclusivamente dirigida a empresas sedeadas em Angola (Luanda ou Benguela),Angola,N/A,GOODS,UNICEF,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299917
787,NO GO 🔴,1.1%,Retender - Provision and Maintenance of Local Area Network (LAN) and Structured Cabling System (SCS) in 30 hospitals across Sri Lanka,Sri Lanka,N/A,WORKS,UNOPS,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299982
788,NO GO 🔴,1.1%,"Supply of Office Supplies for CMS, Yobe",Nigeria,N/A,GOODS,UNICEF,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299980
789,NO GO 🔴,1.1%,"Rehabilitation and Reinforcement Structures of Kariz in Herat, Afghanistan",Afghanistan,N/A,WORKS,UNOPS,Unknown,10,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299367
790,NO GO 🔴,1.1%,Realignment of Installed Solar Panels at the UNOPS Afghanistan Country Office,Afghanistan,N/A,WORKS,UNOPS,Unknown,10,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299996
791,NO GO 🔴,1.1%,ITB for Upgrading of Plum Concrete Surface Streets in Districts 12 & 13 of Kabul city (4 Lots) - Afghanistan,Afghanistan,N/A,WORKS,UNOPS,Unknown,10,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299513
792,NO GO 🔴,1.1%,Supply of WASH items,Nigeria,N/A,GOODS,UNICEF,Unknown,13,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299768
793,NO GO 🔴,1.1%,ITB for Upgrading of Plum Concrete Surface Streets in Districts 7 & 12 of Kabul city (4 Lots) - Afghanistan,Afghanistan,N/A,WORKS,UNOPS,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299673
794,NO GO 🔴,1.1%,"Power Sector Reform, Investment and Modernization in Ethiopia (PRIME-1)",Ethiopia,Energy & Utilities,GOODS,World Bank,"75,200 DZD",34,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439432
795,NO GO 🔴,1.1%,Mejoras a cubierta de techo e impermeabilización de losa en Palacio de Gobierno,Panama,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45145
796,NO GO 🔴,1.1%,ROAS Maintenance Contract for Photocopiers Including Spare Parts,Lebanon,N/A,WORKS,ILO,Unknown,6,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299749
797,NO GO 🔴,1.1%,Diagnóstico da Restauração Ecológica no RJ,Brazil,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,13,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45101
798,NO GO 🔴,1.1%,"Adquisición, instalación y mantenimiento de luminarias",Panama,N/A,WORKS,United Nations Development Programme (UNDP),Unknown,15,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45082
799,NO GO 🔴,1.0%,Instalacion de dos estaciones metereologicas en el Edo Zulia,Venezuela,N/A,WORKS,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299788
800,NO GO 🔴,1.0%,Jhelum and Tawi Flood Recovery Project,India,Health & Life Sciences,GOODS,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437256
801,NO GO 🔴,1.0%,9203806 Objet : APPEL D’OFFRES POUR LA SELECTION DES ENTREPRISES POUR LA FOURNITURE D’ENTREPOTS (LOT 1) ET LA PRESTATION DE SERVICES D’ENTREPOSAGE (LOT 2) A N’DJAMENA AU TCHAD,Chad,N/A,GOODS,UNICEF,Unknown,20,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299902
802,NO GO 🔴,1.0%,Real Estate & Geospatial Infrastructure Project,Kosovo,Construction & Infrastructure,GOODS,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437532
803,NO GO 🔴,1.0%,Sindh Early Learning Enhancement through Classroom Transformation,Pakistan,N/A,GOODS,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442690
804,NO GO 🔴,1.0%,KP- Spending Effectively for Enhanced Development,Pakistan,N/A,GOODS,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442289
805,NO GO 🔴,1.0%,Khyber Pakhtunkhwa Human Capital Investment Project,Pakistan,N/A,GOODS,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442105
806,NO GO 🔴,1.0%,South Sudan Energy Sector Access and Institutional Strengthening Project,South Sudan,Energy & Utilities,GOODS,World Bank,"25,000 USD",27,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437288
807,NO GO 🔴,1.0%,Kyrgyz Republic Air Quality Improvement Project,Kyrgyz Republic,N/A,GOODS,World Bank,Unknown,19,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442021
808,NO GO 🔴,1.0%,Pakistan Raises Revenue,Pakistan,N/A,GOODS,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441726
809,NO GO 🔴,1.0%,SADC Regional Statistics Project,Eastern And Southern Africa,Others,GOODS,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00435100
810,NO GO 🔴,1.0%,RFQ_004_2026_National Supplier to supply the Neutralization of the chemicals,Laos,Health & Life Sciences,GOODS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44863
811,NO GO 🔴,1.0%,Digitization of the Birth Registration System,Timor-Leste,"Data, AI & Analytics",GOODS,UNICEF,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299140
812,NO GO 🔴,1.0%,Kits de renforcement pour abris à l'Est du Tchad,Chad,N/A,WORKS,IOM,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299763
813,NO GO 🔴,0.9%,Air-to-Water Heat Pumps,Lebanon,Energy & Utilities,WORKS,United Nations Development Programme (UNDP),Unknown,14,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44674
814,NO GO 🔴,0.9%,Supply of School Stationery & Learning Material,Pakistan,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,20,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45208
815,NO GO 🔴,0.9%,Long-Term Agreement for Supply and Delivery of Hygiene Supplies,Philippines,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,13,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45193
816,NO GO 🔴,0.9%,Development of Indonesian Technical Guidelines for Safe Handling of Refrigerants,Indonesia,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45129
817,NO GO 🔴,0.9%,"Supply Furniture, Kitchen Tools, Cabinet and Gym Equipment",Yemen,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45170
818,NO GO 🔴,0.9%,Solar Photovoltaic (PV) Systems at Eight (8) ISF Facilities,Lebanon,Energy & Utilities,WORKS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44611
819,NO GO 🔴,0.9%,Procurement & Supply of IT Equipment for 46 Schools in Sindh.,Pakistan,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45155
820,NO GO 🔴,0.9%,Suppling and Delivery of Security and Safety related items,Yemen,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45058
821,NO GO 🔴,0.9%,Supply of School Furniture to 46 Schools in Sindh,Pakistan,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45090
822,NO GO 🔴,0.9%,Procurement of ICT Equipment,Laos,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45057
823,NO GO 🔴,0.9%,013 - Support for cattle artificial insemination in Zavkhan aimag,Mongolia,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45089
824,NO GO 🔴,0.9%,"Supply, Delivery & Commissioning for 2-HOSE SOLAR-POWERED ABOVE-GROUND FUEL DISP",Philippines,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,11,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45107
825,NO GO 🔴,0.9%,26 Supply of IT Equipment with Inatallation and Commissioning,Sri Lanka,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45051
826,NO GO 🔴,0.9%,Enhancing Resilience in Kyrgyzstan Project,Kyrgyz Republic,Education & Training,WORKS,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439297
827,NO GO 🔴,0.9%,LONG TERM AGREEMENT - PROVISION OF INTERNAL CLEANING AND CLEANING OF FACADES,Nigeria,Others,GOODS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44644
828,NO GO 🔴,0.9%,"Supply, Installation, and Commissioning of Pressure and Temperature Calibration Equipment at Kenya Meteorological Department (KMD) Regional Instruments Center in Nairobi, Kenya",Kenya,N/A,WORKS,WMO,Unknown,22,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299647
829,NO GO 🔴,0.9%,Sustainable Ecosystem Restoration and Biodiversity Conservation Project,China,Environment & Climate,WORKS,World Bank,Unknown,20,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437436
830,NO GO 🔴,0.9%,EPP-RFQ-HTCO-24319-26-041(IC) Purchase OF SOFTWARE,Haiti,Enterprise IT & Systems Implementation,GOODS,UNOPS,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299280
831,NO GO 🔴,0.9%,Jordan Water Sector Efficiency Project,Jordan,Energy & Utilities,WORKS,World Bank,"300,000 USD",21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00433601
832,NO GO 🔴,0.9%,"Supply, installation and commissioning of industrial laundry equipment",Turkmenistan,Others,WORKS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44821
833,NO GO 🔴,0.9%,Sierra Leone Water Security and WASH Access Improvement Project,Sierra Leone,"Water, Sanitation & Waste",GOODS,World Bank,"14,000 USD",23,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439054
834,NO GO 🔴,0.9%,REHABILITACIÓN NÚCLEO CARICUAO,Venezuela,Others,WORKS,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44861
835,NO GO 🔴,0.9%,RFQ-SUPPLYING AND APPLICATION OF SAND EPOXY FLOORING FINISHING FOR UNDP MCO,Samoa,Others,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44862
836,NO GO 🔴,0.9%,REHABILITACIÓN NÚCLEO GUATIRE,Venezuela,Others,WORKS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44860
837,NO GO 🔴,0.9%,REHABILITACIÓN NÚCLEO SAN JOSÉ DE BARLOVENTO,Venezuela,Others,WORKS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44851
838,NO GO 🔴,0.9%,Algérie Travaux de construction de la nouvelle ligne ferroviaire Laghouat-Ghardaïa-El Menia - Tronçon Ghardaia/ El Menia (230 Km),Algérie,Others,WORKS,African Development Bank (AfDB),"50,000 DZD",18,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aoi-algerie-travaux-de-construction-de-la-nouvelle-ligne-ferroviaire-laghouat-ghardaia-el-menia-troncon-ghardaia/el-menia-230-km
839,NO GO 🔴,0.9%,Algérie Travaux de construction de la nouvelle ligne ferroviaire Laghouat-Ghardaïa-El Menia - Tronçon Laghouat / Ghardaia (265 Km),Algérie,Others,WORKS,African Development Bank (AfDB),"50,000 DZD",18,2,2026-05-06,afdb,https://www.afdb.org/en/documents/aoi-algerie-travaux-de-construction-de-la-nouvelle-ligne-ferroviaire-laghouat-ghardaia-el-menia-troncon-laghouat/ghardaia-265-km
840,NO GO 🔴,0.9%,Supply and Delivery of Medical Waste Containers and Waste Scales for the Queen Elizabeth Hospital (QEH) in Barbados,Barbados,"Water, Sanitation & Waste",GOODS,UNOPS,Unknown,15,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299137
841,NO GO 🔴,0.9%,Turkey Resilient Landscape Integration Project (TULIP),Turkiye,Agriculture & Food Security,GOODS,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440043
842,NO GO 🔴,0.9%,Thermal insulation of the kindergarten building Pîrîta Bloc A,Republic of Moldova,Others,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44614
843,NO GO 🔴,0.9%,Turkey Resilient Landscape Integration Project (TULIP),Turkiye,Agriculture & Food Security,GOODS,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434307
844,NO GO 🔴,0.9%,Upgrade works at GPI evidence rooms- Moldova,Serbia,Others,WORKS,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44238
845,NO GO 🔴,0.9%,Braille Materials,Malawi,Others,GOODS,United Nations Development Programme (UNDP),Unknown,9,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44870
846,NO GO 🔴,0.9%,Capital repair and modernization of the Mihai Eminescu Gymnasium,Republic of Moldova,Others,WORKS,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44565
847,NO GO 🔴,0.9%,Turkey Resilient Landscape Integration Project (TULIP),Turkiye,Agriculture & Food Security,GOODS,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00434311
848,NO GO 🔴,0.9%,"Appel d’offres – RFQ No. 02/2026 : Achat d’équipements, de réactifs et de consommables pour le renforcement du laboratoire de l’antibiorésistance",Tunisia,Health & Life Sciences,GOODS,WHO,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299043
849,NO GO 🔴,0.9%,"Supply and Installation of Equipment for Animal Health and Environmental Laboratories in Sri Lanka - Molecular Biology, Diagnostic and Analytical Equipment (Suppliers registered in Sri Lanka)",Sri Lanka,N/A,WORKS,FAO,Unknown,15,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299841
850,NO GO 🔴,0.9%,"ITB # 136698 -Package # 12 – AF2 IS: Rehabilitation of the Irrigation Scheme of 1. Tapa-e-Ahmad Big and 2. Shahre Beland Canals in Nijrab and Paryan Districts of Kapisa and Panjsher Provinces, Central/Kabul Region",Afghanistan,N/A,WORKS,FAO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299770
851,NO GO 🔴,0.9%,Great Lakes Trade Facilitation and Integration Project,Drc - Angola,Transport & Logistics,WORKS,World Bank,"90,000 USD",37,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440513
852,NO GO 🔴,0.9%,"Package # 30 – AF2 WSM: Construction of 5 check dams of A. Majar sites # 1 and 2, and B. Elyasgar sites # 3, 4, and 5 in Aljahad District of Sar-e-Pul Province, North/Mazar Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299851
853,NO GO 🔴,0.9%,"ITB No.136709_ Package # 2 – AF2 IS_ Rehabilitation of the Irrigation Scheme of 1. Ali Mansoor Canal in Karukh District, 2. Joy Sork and 3. Sar Kari Canals in the Farsi District of Herat Province, West/Herat Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299755
854,NO GO 🔴,0.9%,"ITB No.136637_ Package # 23 – AF2 IS: Rehabilitation of the Irrigation Scheme Patab Canal in the Khas Urozgan District of Urozgan Province, South/Kandahar Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299527
855,NO GO 🔴,0.9%,2 -wheel walk-behind 12 hp single axle equipped with implements for soil preparation (UNUN/SEC/028/UND Project),Uzbekistan,N/A,WORKS,FAO,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299365
856,NO GO 🔴,0.9%,"ITB No.136708_ JCA Package # 4 – WSM_ Construction of Shah Joy check dams in Sayed Abad District of Wardak Province, Central/Kabul Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299750
857,NO GO 🔴,0.9%,"ITB # 136699 - Package # 32 – AF2 WSM: Construction of Tai Khunak 4 Check dams of A. Khoja Momin site # 1 and site # 2, and B. Sari Shor site # 3 and site # 4 in Aybak District of Samangan Province, North/Mazar Region",Afghanistan,N/A,WORKS,FAO,Unknown,13,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299773
858,NO GO 🔴,0.9%,"Package # 18 – AF2 WSM: Construction of Muqarab Check dams in Gelan District of Ghazni Province, Southeast/Gardez Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299843
859,NO GO 🔴,0.9%,"WBK: Package # 11 – AF2 WSM: Construction of 3 Check dams 1. Wolangak in Shikh Ali, 2. Sanzalai, and 3. Sharkai Olia in the Koh-e-Safi District of Parwan Province, Central/Kabul Regional Office of Afghanistan",Afghanistan,N/A,WORKS,FAO,Unknown,9,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299680
860,NO GO 🔴,0.9%,"Rehabilitation of One (1) ECHO Conference in Chipata, Eastern Province",Zambia,Others,WORKS,FAO,Unknown,9,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299214
861,NO GO 🔴,0.8%,"Supply of Spare Parts for the Security Barrier for UNSMIL HQ, OEA Compound, Janzour,Tripoli, Libya",Libya,N/A,GOODS,UN Secretariat,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299899
862,NO GO 🔴,0.8%,"Invitation to Bid: 2026/FRNIR/FRNIR/135910 Supply and delivery of Aquaculture starter kit DPU Minna-Niger State, Owerri-Imo State and Bwari-FCT Abuja",Nigeria,Agriculture & Food Security,GOODS,FAO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299349
863,NO GO 🔴,0.8%,"Niger Mission de contrôle et la surveillance des travaux de réalisation, équipement, raccordement hydraulique et électrique(Lot1) - PREPAAR – ZMVE",Niger,Mining & Natural Resources,WORKS,African Development Bank (AfDB),Unknown,119,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-niger-mission-de-controle-et-la-surveillance-des-travaux-de-realisation-equipement-raccordement-hydraulique-et-electriquelot1-prepaar-zmve
864,NO GO 🔴,0.8%,Second Ethiopia Resilient Landscapes and Livelihoods Project,Ethiopia,"Environment & Climate, Agriculture & Food Security",GOODS,World Bank,"300,000 ETB",23,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441518
865,NO GO 🔴,0.8%,Ecuador: Emergency Resilient Reconstruction Project,Ecuador,Marketing & Customer Experience,GOODS,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441623
866,NO GO 🔴,0.8%,Caribbean Regional Air Transport Connectivity Project - Haiti,Haiti,N/A,WORKS,World Bank,Unknown,28,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442418
867,NO GO 🔴,0.8%,Procurement of School Laboratory Equipment (Tender open for local suppliers only),Georgia,Education & Training,GOODS,FAO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299350
868,NO GO 🔴,0.8%,Supply of ICT Equipment and Maintenance tools for Kigamboni Folk Dev. Colleage,United Republic of Tanzania,N/A,GOODS,UN-Women,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299798
869,NO GO 🔴,0.8%,"Repatriation of utility Material by sea from Monusco Bunia, DR Congo to Bangladesh",Congo,N/A,GOODS,UN Secretariat,Unknown,13,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299388
870,NO GO 🔴,0.8%,Supply of Tailoring and Shoe Making Workshop Materials in Uganda,Uganda,N/A,GOODS,IDLO,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299491
871,NO GO 🔴,0.8%,Procurement of Fertilizers for Aweil Rice scheme,South Sudan,Agriculture & Food Security,GOODS,FAO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/298860
872,NO GO 🔴,0.8%,provision of services to build domestic demand for agricultural produce in Malawi aligned with the principles of Ecosystem-based Adaptation (EbA),Malawi,Agriculture & Food Security,GOODS,FAO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299247
873,NO GO 🔴,0.7%,Rehabilitation Works to WASH Facilities at Aljiftlik CO-ED School-Nablus Area for Local Contractors only,Palestine,N/A,WORKS,UNRWA,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299692
874,NO GO 🔴,0.7%,Rehabilitation of WC Unit at ESF Dorms -Jerusalem Area 02 for Local Contractors only,Palestine,N/A,WORKS,UNRWA,Unknown,6,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299671
875,NO GO 🔴,0.7%,Maintenance annuelle d’un système de mise en surpression d’une voie de fuite Annual maintenance of an overpressure system for an escape route,Switzerland,N/A,WORKS,UN Secretariat,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299565
876,NO GO 🔴,0.7%,TEST for RFP,United States Of America,Others,CONSULTING,UN Secretariat,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299101
877,NO GO 🔴,0.7%,"Maintenance des bornes hydrantes du Palais des Nations à Genève, Suisse Annual maintenance of hydrants at the Palais des Nations in Geneva",Switzerland,N/A,WORKS,UN Secretariat,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299552
878,NO GO 🔴,0.7%,Jhelum and Tawi Flood Recovery Project,India,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442065
879,NO GO 🔴,0.7%,Jhelum and Tawi Flood Recovery Project,India,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442060
880,NO GO 🔴,0.7%,Ecosonda científica SIMRAD EK80 Portable y Software Echoview,Costa Rica,Enterprise IT & Systems Implementation,GOODS,FAO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299124
881,NO GO 🔴,0.7%,Jhelum and Tawi Flood Recovery Project,India,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442063
882,NO GO 🔴,0.7%,Jhelum and Tawi Flood Recovery Project,India,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442058
883,NO GO 🔴,0.7%,Provision of Fiber-optic internet services for OCHA in Sudan,Sudan,N/A,GOODS,UN Secretariat,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299786
884,NO GO 🔴,0.7%,Jhelum and Tawi Flood Recovery Project,India,N/A,GOODS,World Bank,Unknown,21,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442051
885,NO GO 🔴,0.7%,Serbia Noncommunicable Diseases Prevention and Control Project,Serbia,Health & Life Sciences,GOODS,World Bank,Unknown,42,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441068
886,NO GO 🔴,0.7%,"One-time supply and installation of a new electromechanical door at Bldg 20 at the United Nations Global Service Centre (UNGSC) in Brindisi, Italy",Italy,N/A,WORKS,UN Secretariat,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299558
887,NO GO 🔴,0.7%,Establishment of Long-Term Agreement (LTA) for the Provision of Stationery items,Iraq,N/A,GOODS,United Nations Development Programme (UNDP),Unknown,24,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45111
888,NO GO 🔴,0.7%,Strengthening Moldova's Disaster Risk Management and Resilience Project,Republic of Moldova,N/A,GOODS,World Bank,Unknown,49,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442673
889,NO GO 🔴,0.7%,CONSULTATION POUR LA FOURNITURE DES EQUIPEMENTS « GROUPE ÉLECTROGÈNE »,Tunisia,N/A,GOODS,IOM,Unknown,10,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299769
890,NO GO 🔴,0.7%,Supply and Delivery of Medical Equipment to Myanmar,Myanmar,Health & Life Sciences,GOODS,UNOPS,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299328
