title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
Разработка учебных программ по устойчивому землепользованию,undp,Others,WORKS,NLP,False,0.0597
Техническое обслуживание и ремонт систем безопасности в здании ПРООН в г. Астана,undp,Others,WORKS,NLP,False,0.0806
Comprehensive Mapping of the Youth Ecosystem in Malawi.,undp,CONSULTING,WORKS,NLP,False,0.0028
IC- National Consultant to build capacities of professional staff of community c,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC- National consultant to support the reporting process of the UN Joint Program,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"ICConsultant[e] national[e] en charge de la conception, mise en œuvre et évaluat",undp,Others,CONSULTING,NLP,False,0.1227
Invitation to Pre-qualify for installation of Energy Equipments,undp,WORKS,WORKS,NLP,False,0.0198
26-biogas plant for Gout Blanc,undp,Others,GOODS,NLP,False,0.0124
Supply and delivery of IT hardware and equipment for the LAF,undp,GOODS,GOODS,Layer 1,False,1.0
"Supply, Fitting, and Delivery of High-Quality Prosthetic Limbs",undp,GOODS,GOODS,Layer 1,False,1.0
Support of Secure IT Infrastructure,undp,WORKS,CONSULTING,NLP,True,0.0027
LTA.2026.003 - Long Term Agreement for Office Stationery Supplies,undp,GOODS,GOODS,NLP,False,0.0115
"LTASupply, Delivery and Installation of Solar PV system, Water Pump and material",undp,WORKS,WORKS,Layer 1,False,1.0
National expert to support review of national legislation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
PAZ - Impresión de Informes Comisión de la Verdad,undp,NON-CONSULTING,CONSULTING,NLP,True,0.0167
Pedieos River/Kanlidere Rehabilitation Part 2 Project,undp,WORKS,WORKS,NLP,False,0.1249
Procurement of 32 EA AIO Computers for 2 Public Education Centers,undp,GOODS,GOODS,Layer 1,False,1.0
"Provision of AI-Enabled Early Warning, Operational Risk Monitoring, and Analytic",undp,Others,CONSULTING,NLP,False,0.1107
Réalisation d'un forage positif pour les populations de Watinoma,undp,WORKS,CONSULTING,NLP,True,0.0045
"RFP Consultancy Firm - Legal Advice, Institutional and Fund Structuring",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFP Mobile Health Clinic Services Provision of Mobile Healt,undp,CONSULTING,NON-CONSULTING,NLP,True,0.0254
RFP/AAA2/2604/17 TFGBV Data Repository development and capacity building,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFP_Firm/Institution to implement Communications Activities on TP Lab Phase II,undp,CONSULTING,CONSULTING,NLP,True,0.0048
RFP_Strengthening Thailand's NBSAP Implementation on ABS Capacity Building,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
RFP_Support Implementation of FAST Initiative in Thailand,undp,CONSULTING,CONSULTING,NLP,False,0.0412
Engaging Agency for Designing and Delivering trainings for CSO,undp,CONSULTING,CONSULTING,NLP,False,0.0802
"RFQ Conference and Catering Services on 2-3 July 2026, Seoul, Republic of Korea.",undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Recrutement d'une sté des travaux pour le réaménagement et l'extens,undp,WORKS,WORKS,NLP,False,0.0944
Supply and Delivery of 20 ATV Trailers for Barbados and the Eastern Caribbean,undp,GOODS,GOODS,Layer 1,False,1.0
Supply and Delivery of Various Types of Equipment,undp,GOODS,GOODS,Layer 1,False,1.0
Automation of Grant Accounting and Reporting of GFGrant,undp,Others,CONSULTING,NLP,False,0.109
Baseline Assessment of Agricultural Productivity in Dadu.,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
WASSP‑ITB-Supply and Delivery of ADR Vehicles,undp,GOODS,GOODS,Layer 1,False,1.0
Procurement of transportation means (vehicles),undp,GOODS,GOODS,Layer 1,False,1.0
"Awareness Campaign on Climate Related DRR Plan for Damietta, Egypt.",undp,Others,CONSULTING,NLP,True,0.0209
Biodiversity Finance Plan Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Élaboration d’une cartographie de l’écosystème d’investissement,undp,Others,CONSULTING,NLP,False,0.1202
EUFRP-RFQ-Construction of a retaining wall in the Municipality of Vareš,undp,WORKS,WORKS,Layer 1,False,1.0
IC-International Expert for Forestry,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply and Delivery of Fifteen (15) Double Cabin Vehicles,undp,GOODS,GOODS,Layer 1,False,1.0
Supply and Delivery of E-Forklifts to the LAF,undp,GOODS,GOODS,Layer 1,False,1.0
National Consultant – Digital Government,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Planning, Coordination, and Full Delivery of the Mangrove Governance Conference",undp,GOODS,CONSULTING,NLP,True,0.0303
Provision of New production lines for bakeries in 7 Governorates in Syria,undp,Others,GOODS,Layer 1,False,1.0
Reforms assmt & Strategy devpt for Public Service Delivery System in Uzbekistan,undp,CONSULTING,NON-CONSULTING,NLP,True,0.0111
Study on the Impact of Gender Equality on GDP Growth in Har,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Fortalecimiento Banco Central del Ecuador gestión de riesgos oro,undp,Others,CONSULTING,NLP,False,0.0959
WASSP-RfQ-Production and installation of security doors on location TB Visoko,undp,WORKS,WORKS,Layer 1,False,1.0
Solar-powered marine environmental monitoring buoys and one Portable,undp,Others,WORKS,NLP,False,0.073
ADG - IC - Asesoría técnica y metodológica,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
ADG - IC - Asesoría técnica y metodológica,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Cohort-Level Marketing Support and Technical Market Readiness for the Honeybush,undp,Others,CONSULTING,NLP,False,0.0372
Fit-Out Contract for the Accessibility Renovations of UN House Manila,undp,Others,WORKS,Layer 1,False,1.0
IC-Conduct Comparative Policy & Systems Review on Gender-Responsive Procurement,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
ITB Adquisición de Ropa Interior,undp,GOODS,GOODS,Layer 1,False,1.0
Nat'l Consultant – Support on Blended Finance Stakeholder Engagement&Parterships,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Planejamento, desenvolvimento e execução de ações de capacitação relacionadas a",undp,Others,CONSULTING,NLP,False,0.0727
Procurement of Fast Payment System (FPS),undp,GOODS,GOODS,Layer 1,False,1.0
Recrutement cabinet international pour une étude sur l'électrification solaire,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Recrutement d'un Consultant national pour l’élaboration du RNDH 2026,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Study visit in Romania within ResCom2 Project,undp,GOODS,CONSULTING,NLP,False,0.0747
Sector-Wide Marketing & Branding Strategy for the South African Honeybush Sector,undp,CONSULTING,CONSULTING,NLP,True,0.0301
Adquisición de vehículos para el fortalecimiento institucional del MIDES,undp,GOODS,GOODS,Layer 1,False,1.0
Local IC to Support the Efforts to Strengthen the Services Offered to Victims,undp,Others,CONSULTING,NLP,True,0.0258
Lutheria para instrumentos de viento,undp,Others,WORKS,NLP,False,0.0283
National Land Use Consultant/Project Coordinator,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Engaging a Media Platform to Promote Shared Caregiving,undp,CONSULTING,NON-CONSULTING,NLP,False,0.0463
Development of the computer subsystem “Financial Control”,undp,GOODS,CONSULTING,NLP,False,0.0406
Research Analyst-Environment & Climate Resilience,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Research Analyst- Data support and analysis,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Research Analyst-Education,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Research Analyst-WASH,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Upgrade works at GPI evidence rooms- Moldova,undp,Others,WORKS,Layer 1,False,1.0
Research Analyst – Health,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Research Analyst- Information Technology,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Sectoral Planning & Strategy Documentation (Punjab 2026–2031),undp,CONSULTING,CONSULTING,NLP,False,0.1059
"Comprehensive assessment, development and integration of green skills courses",undp,CONSULTING,CONSULTING,NLP,False,0.0703
Development of software,undp,CONSULTING,GOODS,NLP,False,0.0046
Provision of Spare Parts to Deir Ali 2 CCPP and Al-Nassrieh PP,undp,GOODS,GOODS,NLP,False,0.0374
ViaDinaricaIII-Marking and Equipping Mountain Trails to Kameni most-Banja Luka,undp,Others,WORKS,NLP,False,0.0604
AI-Powered Parliamentary Learning Platform for Fiji Parliament – Platform Launch,undp,Others,CONSULTING,NLP,False,0.0671
Consultancy Services for Graduate Placement for the Eswatini Youth Empowerment P,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
26 Operationalization of Law 318,undp,CONSULTING,NON-CONSULTING,NLP,True,0.0057
"RAC System Components, Equipment, Tools and Consumables",undp,GOODS,GOODS,NLP,False,0.0997
Recrutement d'une boite de dévelopement pour la mise en œuvre,undp,CONSULTING,CONSULTING,NLP,False,0.0872
Supervision for the construction-Pluzine,undp,CONSULTING,WORKS,NLP,False,0.1007
Construction/Rehabilitation & Solarization of 08 WSS in Dadu.,undp,WORKS,WORKS,Layer 1,False,1.0
d'une ONG micro evaluée,undp,CONSULTING,CONSULTING,NLP,False,0.0825
Yapese-English AI Translation System Development – Foundation Phase,undp,CONSULTING,GOODS,NLP,False,0.002
Internet Access Services,ungm,Others,NON-CONSULTING,Layer 1,False,1.0
Procurement of Fertilizers for Aweil Rice scheme,ungm,GOODS,GOODS,Layer 1,False,1.0
Travaux d'aménagement et de réhabilitation pour la mise à niveau du laboratoire de diagnostic vétérinaire de Tuléar - UNJP/MAG/124/EC,ungm,WORKS,WORKS,Layer 1,False,1.0
LRFP MADA 2026-9203326 - ACHAT DE PANNEAU SOLAIRE CFPF VONDROZO,ungm,GOODS,GOODS,Layer 1,False,1.0
"Provision of Fiber Internet Connection for International Organization for Migration Juba, South Sudan Office",ungm,Others,NON-CONSULTING,Layer 1,False,1.0
"Call for External Collaborator – Mapping of the young people not in education, employment or training (NEET) in North Macedonia, EU-International Labour Organization Technical Assistance Facility on the Youth Guarantee in the Western Balkans (phase III)",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Request for Quotation – WSIS FORUM 2026 VIDEOGRAPHY,ungm,Others,CONSULTING,NLP,True,0.0097
"RFQ - Purchase of a Set of Uniforms for 2 International Labour Organization Accra Drivers (Suit Set (Jacket and Trousers), Shirts, Pair of Shoes, Neck-ties)",ungm,GOODS,GOODS,Layer 1,False,1.0
Supply & Delivery of Diesel Fuel to Malakal Hub,ungm,GOODS,GOODS,Layer 1,False,1.0
Construction of the natural based water treatment unit in Malakal for the water,ungm,WORKS,WORKS,Layer 1,False,1.0
"Hardware Security Modules (HSMs) for the Ministry of Interior of Montenegro, including delivery, offload, on-site installation and training services",ungm,CONSULTING,GOODS,NLP,False,0.0663
"Provision of fire extinguishing modules to Mykolaiv, Ukraine",ungm,Others,WORKS,NLP,False,0.0634
Supply of Chemical,ungm,GOODS,GOODS,Layer 1,False,1.0
ITB - Procurement of 7 vehicles for police mobile groups,ungm,GOODS,GOODS,Layer 1,False,1.0
Differential Scanning Calorimeter (SRL1011) #155878,ungm,Others,WORKS,NLP,False,0.0005
Youth and Women-led Networks as Sustainable and Self-reliant Actors,undp,Others,CONSULTING,NLP,False,0.0553
Evaluation of International Organization for Migration approach to knowledge management,ungm,CONSULTING,CONSULTING,NLP,False,0.0476
LTA prestation de services de maintenance siège des Nations Unies,undp,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0625
Vehicle maintenance and repair services for UNDP Libya car fleet,undp,GOODS,GOODS,NLP,False,0.0035
Travaux de réalisation d'une clôture au poste frontalier de Kosso,undp,WORKS,WORKS,Layer 1,False,1.0
MEDIATISATION DES DIALOGUES PARLONS DÉVELOPPEMENT (PODCASTS),undp,Others,NON-CONSULTING,NLP,True,0.0123
Consulting Firm to conduct Mid-term Evaluation of the Social Justice Project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Diseño, desarrollo e implementación del nuevo portal web",undp,Others,CONSULTING,NLP,False,0.0573
Quantifying Success – Socio-Economic Impact Assessment of the UNDP/UNCDF Credit,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC for Mid-Term Evaluation of Flood Recovery Programme FRP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Malala China Tree Plantation and Facility Construction,undp,WORKS,WORKS,NLP,False,0.1284
Consultant Climate Risk Insurance Bougainville and Highlands,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Biodiversity Finance Assessment Specialist,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Biodiversity Finance Planning Specialist,undp,Others,CONSULTING,Layer 1,False,1.0
Acuisition et installation moteur neuf Toyota Land Cruiser V8 neuf double Cabine,undp,WORKS,GOODS,NLP,False,0.0144
Consultant as UN Clinic Relief Physician Maiduguri - Two Position Retainer,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
CYBERSECURITY EQUIPMENT (NGFW ),undp,GOODS,CONSULTING,NLP,True,0.0247
"Fourniture, transport et livraison sur site de matériaux de construction",undp,WORKS,GOODS,NLP,False,0.094
TECHNICAL VERIFICATION OF BOQs AND SUPERVISION OF WORKS IN PRESPA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply and Installation of a Diesel Tank,undp,WORKS,WORKS,Layer 1,False,1.0
"Recrutement d’un(e) Consultant(e) National(e) "" Spécialiste en Nexus Humanitaire",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Policy Specialist for EE in Buildings,undp,Others,CONSULTING,Layer 1,False,1.0
Acquisition de tablettes,undp,GOODS,GOODS,Layer 1,False,1.0
"173147/26 Servicios_Consultoría: formulación ""proyecto_manejo integrado cuencas""",undp,Others,CONSULTING,NLP,False,0.0581
National Civil Engineer for Global Fund Project,undp,CONSULTING,CONSULTING,NLP,False,0.0553
Recrutement de trois (3) cabinets d'audit pour les Spotchecks -,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Acquisition d’équipements pour la digitalisation de la campagne nat,undp,Others,GOODS,NLP,False,0.0906
MOBILIERS DESTINES AUX HOTELS DE VILLE DES COMMUNE DE OVAN ET BOUEE,undp,Others,NON-CONSULTING,NLP,False,0.053
Employer Mobilization And Engagement : Nigeria Jubilee Fellows Programme,undp,CONSULTING,CONSULTING,NLP,False,0.0387
EVENT MANAGEMENT AND COORDINATION SERVICES FOR THE 2026 NJFP EMPLOYERS’ SUMMIT,undp,NON-CONSULTING,NON-CONSULTING,NLP,False,0.093
Video institucional p/ promover a México como destino de inversión,undp,Others,CONSULTING,NLP,False,0.0507
Appel à proposition d’ONG ou d’OSCs,undp,Others,CONSULTING,NLP,False,0.0952
Individual Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Support for Strengthening MDSA Framework,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Individual Consultant for Strategic Advice& Engagement for Resource Mobilization,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Venue and Rooms for 2026 Innovation Challenge Events on June 2-5, 2026 in Manila",undp,Others,NON-CONSULTING,Layer 1,False,1.0
Consultant for GF Grant (GC8) HIV/TB Funding Request,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
REQUEST FOR REFURBISHMENT OF PROJECT OFFICES AT THE UN ANNEX,undp,WORKS,WORKS,Layer 1,False,1.0
002- Long term agreement for roster of Interpreters and Translators,undp,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
06 - LTA for Translators,undp,CONSULTING,CONSULTING,NLP,True,0.0153
Food and non-food supply to UN City Copenhagen Canteen,undp,GOODS,GOODS,NLP,False,0.046
IC - Legal Advisor (Ombudsperson KP),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Three Individual Consultants: Experts to prepare PBSAP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Three Individual Consultants: Experts to prepare PBSAP,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"National consultant for Identification, Assessment and Reform of Biodiversity",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
SERVICE DE RESTAURATION LORS DES ATELIERS DE RELANCE ECONOMIQUE A MOKOLO,undp,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0811
Supply and Delivery Of Tonners for Nairobi and Mogadishu Offices,undp,GOODS,GOODS,Layer 1,False,1.0
"Medical Equipment, Medical Laboratory, Medicines and vaccines and medical consum",undp,GOODS,GOODS,Layer 1,False,1.0
Development of Detailed Energy Audits (DEA) in FBiH and RS,undp,CONSULTING,CONSULTING,NLP,False,0.0545
Supply and Delivery of Fuel to UNDP Offices and Guesthouses in Port Sudan and Kh,undp,GOODS,GOODS,Layer 1,False,1.0
UNDP Afghanistan visibility materials,undp,GOODS,GOODS,NLP,False,0.0097
Individual National Consultant for The Development of a Poverty Hotspot Map in E,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Re-advert: IC/2026/026- Energy Finance Expert (National consultant),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
033 - Lead finance expert (National Consultant),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Designing and Piloting a Blended Finance Facility for Affordabl,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"RFP for Microfinance Value Chain Financing Promotion and Awareness Campaign, Afg",undp,CONSULTING,CONSULTING,NLP,False,0.0715
RFP for for preparation of three comprehensive modules focusing on SDG Implement,undp,CONSULTING,CONSULTING,NLP,True,0.0184
014- Conduct skills gap assessment in the green transition.,undp,CONSULTING,CONSULTING,NLP,False,0.0728
UN City Copenhagen ICT Incident Response Agreement,undp,Others,NON-CONSULTING,NLP,False,0.0376
GF- National Consultant Health Financing and Costing,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Development of National Framework for Flood Mitigation and Adaptation to Strengt,undp,CONSULTING,WORKS,NLP,False,0.08
IC to train Rwandan parliamentarians on legislative oversight for GRPFM,undp,CONSULTING,CONSULTING,NLP,False,0.053
CONSULTANCE - REVISION TEXTE - PRIX ELECTRICITE / FRAIS INSTRUCTION,undp,CONSULTING,CONSULTING,NLP,False,0.0788
IC - NCHR (KP) - Legal Advisor,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant on Legal Policy&Fiscal Analysis on Pro Bono Legal Services,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
002 Provision of Hotel Accommodation for COP17 Mongolia,undp,GOODS,NON-CONSULTING,Layer 1,False,1.0
Mid-Term Evaluation of for UNDP Afghanistan ACRP Project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Design a specialized Practitioner Course on SDG Localisation an,undp,CONSULTING,CONSULTING,NLP,False,0.0559
National Conflict Analysis and Conflict Sensitivity Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Campaign for Digital Financial Literacy and E-Wallet Onboarding in Afghanistan,undp,Others,CONSULTING,NLP,True,0.0334
Elementos Lúdicos,undp,Others,GOODS,NLP,False,0.046
Situation Analysis for Suriname Energy Resilience Policy and financial Framework,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"National Consultant Environmental Policy Expert, South Sudan",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"National Value Chains Assessment Consultant, South Sudan",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Event Planning Services for the Commissioning of the Police Training School,undp,Others,NON-CONSULTING,Layer 1,False,1.0
IC-Engagement Facilitator Pacific Parliamentary Effectiveness Initiative PPEI,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Individual Consultant to develop a comprehensive strategic plan for GALGA,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Individual Contract (IC) – National Evaluator Specialist,undp,Others,CONSULTING,NLP,False,0.1644
Diagnóstico y dimensionamiento de procesos de pesca y recolección de algas,undp,Others,GOODS,NLP,False,0.0274
Location de salle et restauration pour 6 jours à Kankan,undp,NON-CONSULTING,WORKS,NLP,False,0.0351
Location et restauration pendant 2 et 6 jours à kindia,undp,NON-CONSULTING,WORKS,NLP,False,0.0234
Prestataire de services (Firme) pour le renforcement du dialogue communautaire e,undp,Others,CONSULTING,Layer 1,False,1.0
"DES- compra de Elementos de ferretería y mobiliario, Cumbal, Nariño",undp,GOODS,GOODS,NLP,False,0.1074
RFP - Expansion of the Belize National Statistical System (BNSS) Portal,undp,CONSULTING,CONSULTING,NLP,False,0.0418
Especialista en gestión ambiental para promover la suscripción de AP+L,undp,Others,CONSULTING,NLP,False,0.036
National Consultant- Technical Assistant for MIS support,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
National Consultant for Monitoring and Evaluation of NAP Project,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Environmental Policy Specialist,undp,Others,CONSULTING,Layer 1,False,1.0
Individual Consultant to Assist in the Implementation of the Samsung SFT,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Procurement of Project Waste Vehicle,undp,GOODS,GOODS,Layer 1,False,1.0
Procurement&Installation of Training Equipment/Counterfeiting &Forgery Lab MOI,undp,WORKS,GOODS,NLP,False,0.1503
Access to Finance and Skills for Youth (Returnees) through Subsidized Internship,undp,Others,CONSULTING,NLP,False,0.0511
Construction of Covered Marketplace in Türkoğlu - Kahramanmaraş Province,undp,WORKS,WORKS,Layer 1,False,1.0
Élaboration de procédures et de manuels opérationnels pour les projets,undp,Others,CONSULTING,NLP,False,0.0478
Hiring an National Consultant for capacity building,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Hiring an International Consultant for capacity building,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Servicio de agencia de empleo, Ruta integral de inclusión Cauca",undp,Others,NON-CONSULTING,Layer 1,False,1.0
"Servicio de agencia de empleo, Ruta integral de inclusión Meta",undp,Others,NON-CONSULTING,Layer 1,False,1.0
Supply and Delivery of Sargassum Booms for Barbados and the Eastern Caribbean,undp,GOODS,GOODS,Layer 1,False,1.0
IC- National Legal Expert to support the piloting of Validation of Non-Formal an,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC- National Financial Expert for Green Tourism Market Analysis and Biodiversity,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC 15/2026 Roster de diseño,undp,CONSULTING,GOODS,NLP,False,0.0068
Procurement of School Laboratory Equipment (Tender open for local suppliers only),ungm,GOODS,GOODS,Layer 1,False,1.0
"Invitation to Bid: 2026/FRNIR/FRNIR/135910 Supply and delivery of Aquaculture starter kit DPU Minna-Niger State, Owerri-Imo State and Bwari-FCT Abuja",ungm,GOODS,GOODS,Layer 1,False,1.0
Cold Storage for Vaterniery Vaccine Quetta 26-166,ungm,Others,GOODS,NLP,False,0.0969
2026-Consultancy for the Review of Health Information Systems Platforms Currently in Use at the World Health Organization Regional Office for Africa,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"RFQ - Request Conference and Hotel Services for Certification of Trainers on Financial Education Workshop- Abuja, 11th to 15th and 18th to 21st May 2026",ungm,GOODS,NON-CONSULTING,Layer 1,False,1.0
Provision of Computer Desktops,ungm,GOODS,GOODS,NLP,False,0.0732
Demande d’offre de prix pour une réunion de l’OMS le 13 mai 2026,ungm,Others,CONSULTING,NLP,True,0.0182
ROAS- Periodic maintenance for International Labour Organization Vehicle (23-534-21) Toyota-Rav 4,ungm,GOODS,WORKS,NLP,False,0.0042
"Call for External Collaborator to support the formulation process for a National Employment Policy in South Sudan, International Labour Organization Office CO Addis Ababa",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Call for External Collaborators- Social Protection and Climate Finance Expert, International Labour Organization CO-Manila",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
GCF x UAV - Agriculture drone 100 L with spraying system and other accessories,ungm,Others,GOODS,NLP,False,0.04
Call for External Collaborators to collect social security data and conduct a gap analysis,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Emergency Procurement: Re-tender Provision of the monitors to Kharkiv oblast,ungm,Others,GOODS,NLP,False,0.0129
Purchasing diabetic foot care packages for UNRWA,ungm,Others,GOODS,NLP,False,0.0629
Purchase of Furniture and Gym Equipment for International Organization for Migration Somalia,ungm,GOODS,GOODS,Layer 1,False,1.0
Supply and Delivery of Medical Equipment to Myanmar,ungm,GOODS,GOODS,Layer 1,False,1.0
Surface transport hire,ungm,Others,NON-CONSULTING,Layer 1,False,1.0
"Provision of Long-Term Agreement for Tents, Emergency Shelter and Household Item",ungm,Others,NON-CONSULTING,NLP,False,0.0386
Research services on mine safety awareness and safe behaviour practices among children and caregivers (open for local NON VAT-payers ONLY),ungm,CONSULTING,CONSULTING,NLP,True,0.0018
Veterinary Ultrasound Machine 26-165,ungm,Others,GOODS,NLP,False,0.0239
Supply of Gel Documentation System to Myanmar,ungm,GOODS,GOODS,Layer 1,False,1.0
"9 Ivana Tabirtsi St., Korop Settlement, Chernihiv Region",ungm,Others,WORKS,NLP,False,0.0295
"Call for External Collaborator – Good practices by government, private sector and unions to advance employment and decent work for persons with disabilities in Asia Pacific region. DWT-Bangkok and GEDI",ungm,GOODS,CONSULTING,Layer 1,False,1.0
Call for external collaborators - Feasibility Assessment on Provision of Care Services through Cooperatives and Other Social and Solidarity Economy Entities in Cambodia,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision of Cybersecurity Consultancy Service to conduct a comprehensive Vulnerability Assessment and Penetration Testing (VAPT) for the National Justice Information System (NJIS) Ecosystem in the Philippines,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Consultancy for Strengthening Foundational Learning Design and Teaching (For Pakistan based firms and companies),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Technical Assistance for the Scale-up of Teaching at the Right Level (TaRL) Approach in Balochistan (for Pakistan based firms and companies),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Assessment on Cambodia's Informal Economy: Organizational Mapping and CAM-IE Platform Impact Assessment,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"136635 SISTEMA DE PRODUCCIÓN DE CONCENTRADO PARA CERDOS, CAUCA",ungm,Others,GOODS,NLP,False,0.057
"Architectural Survey of Heritage Houses in Erbil Citadel, Iraq",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Purchase of Technical Centres’ Equipment – Deep freezer and Cryovials,ungm,GOODS,GOODS,Layer 1,False,1.0
Purchase of Technical Centers’ Equipment (Masses and Sensors),ungm,GOODS,GOODS,Layer 1,False,1.0
Mise en place Accord Long Terme pour le Transport et Acheminement au Mali,ungm,Others,NON-CONSULTING,NLP,True,0.0224
Provision of Learning Programme Design and Development services,ungm,CONSULTING,CONSULTING,NLP,False,0.0917
"Acquisition des Matériels de Couture Pour CFTP, Faya,Fada,Amdjarass",ungm,GOODS,GOODS,Layer 1,False,1.0
"Long-Term Agreement (LTA) for Provision of computer-assisted translation, terminology, editing, search and translation management tools for World Health Organization language services",ungm,GOODS,CONSULTING,NLP,True,0.0276
"RfQ_Events Management Services for M4C Meetings in Buala, Solomon Islands",ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
RFQ - Knowledge Exchange on Gender Responsive HDP Nexus,ungm,GOODS,NON-CONSULTING,NLP,True,0.0237
136610 SERVICIO INTEGRAL DE CATERING Y APOYO LOGÍSTICO PARA JORNADA INSTITUCIONAL EN BOGOTÁ - JUNIO DE 2026,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"Vessel Monitoring System (VMS) Technologies to Bolster Montenegrin Monitoring, Control and Surveillance (MCS) Assets in Montenegro",ungm,Others,CONSULTING,NLP,True,0.0254
"136647 ALQUILER DE UN SALÓN PARA EVENTOS POR 3 DÍAS (6, 7 Y 8 DE MAYO) CON AYUDAS AUDIOVISUALES Y ALIMENTACIÓN EN LA CIUDAD DE BOGOTÁ UBICADOS ENTRE CALLE 57 Y LA CALLE 100 Y ENTRE LA AV. CARACAS / AUTOPISTA NORTE Y LA CARRERA 1RA",ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0479
